index,img_id,img_path,qu_id,qu_sentence,qu_tokens,all_ans,valid_ans
0,3371,preprocessed/img/img_train/abstract_v002_train2015_000000003371.png,33712,What is the predominant color of the room?,"['what', 'is', 'the', 'predominant', 'color', 'of', 'the', 'room', '?']","['light brown', 'brown', 'beige', 'tan']","['light brown', 'brown', 'beige', 'tan']"
1,3371,preprocessed/img/img_train/abstract_v002_train2015_000000003371.png,33710,Who will she give the bone to?,"['who', 'will', 'she', 'give', 'the', 'bone', 'to', '?']","['pug', 'dog']","['pug', 'dog']"
2,3371,preprocessed/img/img_train/abstract_v002_train2015_000000003371.png,33711,What is the woman holding?,"['what', 'is', 'the', 'woman', 'holding', '?']",['bone'],['bone']
3,1527,preprocessed/img/img_train/abstract_v002_train2015_000000001527.png,15272,How many people are in the room?,"['how', 'many', 'people', 'are', 'in', 'the', 'room', '?']",['1'],['1']
4,1527,preprocessed/img/img_train/abstract_v002_train2015_000000001527.png,15270,What color is the dog?,"['what', 'color', 'is', 'the', 'dog', '?']","['brown', 'tan', 'gray']","['brown', 'tan', 'gray']"
5,1527,preprocessed/img/img_train/abstract_v002_train2015_000000001527.png,15271,Is the man falling?,"['is', 'the', 'man', 'falling', '?']",['yes'],['yes']
6,2592,preprocessed/img/img_train/abstract_v002_train2015_000000002592.png,25920,Is little baby trying to walk?,"['is', 'little', 'baby', 'trying', 'to', 'walk', '?']",['yes'],['yes']
7,2592,preprocessed/img/img_train/abstract_v002_train2015_000000002592.png,25921,Is there a woman on the couch?,"['is', 'there', 'a', 'woman', 'on', 'the', 'couch', '?']",['yes'],['yes']
8,2592,preprocessed/img/img_train/abstract_v002_train2015_000000002592.png,25922,Is the couch sitting against the wall?,"['is', 'the', 'couch', 'sitting', 'against', 'the', 'wall', '?']",['no'],['no']
9,1329,preprocessed/img/img_train/abstract_v002_train2015_000000001329.png,13290,What is the woman doing outside?,"['what', 'is', 'the', 'woman', 'doing', 'outside', '?']","['resting', 'having picnic', 'sitting on ground', 'picnic', 'sitting alone', 'sitting', 'picnicking']","['resting', 'having picnic', 'sitting on ground', 'picnic', 'sitting alone', 'sitting', 'picnicking']"
10,1329,preprocessed/img/img_train/abstract_v002_train2015_000000001329.png,13291,How many logs on the grass?,"['how', 'many', 'logs', 'on', 'the', 'grass', '?']",['2'],['2']
11,1329,preprocessed/img/img_train/abstract_v002_train2015_000000001329.png,13292,What is on the blanket?,"['what', 'is', 'on', 'the', 'blanket', '?']","['food and basket', 'food', 'basket', 'basket, food', 'basket food and cup', 'basket, food, and cup']","['basket', 'basket food and cup', 'food and basket', 'food']"
12,128,preprocessed/img/img_train/abstract_v002_train2015_000000000128.png,1280,What are the letters?,"['what', 'are', 'the', 'letters', '?']","['dbca', 'a,b,c,d', 'abcd', 'yes']","['dbca', 'abcd', 'yes']"
13,128,preprocessed/img/img_train/abstract_v002_train2015_000000000128.png,1281,Is the dog on the rug?,"['is', 'the', 'dog', 'on', 'the', 'rug', '?']",['yes'],['yes']
14,128,preprocessed/img/img_train/abstract_v002_train2015_000000000128.png,1282,Do they look sad?,"['do', 'they', 'look', 'sad', '?']","['no', 'yes']","['no', 'yes']"
15,1203,preprocessed/img/img_train/abstract_v002_train2015_000000001203.png,12032,How many bushes are there?,"['how', 'many', 'bushes', 'are', 'there', '?']",['2'],['2']
16,1203,preprocessed/img/img_train/abstract_v002_train2015_000000001203.png,12030,What color shirt does the boy with the bat have on?,"['what', 'color', 'shirt', 'does', 'the', 'boy', 'with', 'the', 'bat', 'have', 'on', '?']","['black', 'brown', 'blue']","['black', 'brown', 'blue']"
17,1203,preprocessed/img/img_train/abstract_v002_train2015_000000001203.png,12031,What are the boys playing?,"['what', 'are', 'the', 'boys', 'playing', '?']","['baseball', 'park']","['baseball', 'park']"
18,620,preprocessed/img/img_train/abstract_v002_train2015_000000000620.png,6200,Are the kids excited for the bbq?,"['are', 'the', 'kids', 'excited', 'for', 'the', 'bbq', '?']",['yes'],['yes']
19,620,preprocessed/img/img_train/abstract_v002_train2015_000000000620.png,6201,Are the kids on the right the biracial grand kids of the old man?,"['are', 'the', 'kids', 'on', 'the', 'right', 'the', 'biracial', 'grand', 'kids', 'of', 'the', 'old', 'man', '?']",['yes'],['yes']
20,620,preprocessed/img/img_train/abstract_v002_train2015_000000000620.png,6202,Is the person at the grill wearing long or short pants?,"['is', 'the', 'person', 'at', 'the', 'grill', 'wearing', 'long', 'or', 'short', 'pants', '?']","['long', 'long pants']","['long', 'long pants']"
21,1756,preprocessed/img/img_train/abstract_v002_train2015_000000001756.png,17560,Does the dog belong to the girl?,"['does', 'the', 'dog', 'belong', 'to', 'the', 'girl', '?']",['yes'],['yes']
22,1756,preprocessed/img/img_train/abstract_v002_train2015_000000001756.png,17561,Is there any toys in the sandbox?,"['is', 'there', 'any', 'toys', 'in', 'the', 'sandbox', '?']",['no'],['no']
23,1756,preprocessed/img/img_train/abstract_v002_train2015_000000001756.png,17562,Are there any tall trees at the playground?,"['are', 'there', 'any', 'tall', 'trees', 'at', 'the', 'playground', '?']",['no'],['no']
24,2469,preprocessed/img/img_train/abstract_v002_train2015_000000002469.png,24690,What is the plant sitting on?,"['what', 'is', 'the', 'plant', 'sitting', 'on', '?']","['pot', 'table', 'side table', 'stool']","['pot', 'table', 'stool', 'side table']"
25,2469,preprocessed/img/img_train/abstract_v002_train2015_000000002469.png,24691,Does the woman have curly hair?,"['does', 'the', 'woman', 'have', 'curly', 'hair', '?']","['yes', 'no']","['yes', 'no']"
26,2469,preprocessed/img/img_train/abstract_v002_train2015_000000002469.png,24692,Is the woman resting her feet?,"['is', 'the', 'woman', 'resting', 'her', 'feet', '?']",['yes'],['yes']
27,3112,preprocessed/img/img_train/abstract_v002_train2015_000000003112.png,31120,What are the animals?,"['what', 'are', 'the', 'animals', '?']","['deers', 'yes', 'deer']","['deers', 'yes', 'deer']"
28,3112,preprocessed/img/img_train/abstract_v002_train2015_000000003112.png,31121,How many animals are standing?,"['how', 'many', 'animals', 'are', 'standing', '?']",['1'],['1']
29,3112,preprocessed/img/img_train/abstract_v002_train2015_000000003112.png,31122,How many deer are under  a tree?,"['how', 'many', 'deer', 'are', 'under', 'a', 'tree', '?']","['2', '3']","['2', '3']"
30,3885,preprocessed/img/img_train/abstract_v002_train2015_000000003885.png,38850,Is the old lady holding a bike?,"['is', 'the', 'old', 'lady', 'holding', 'a', 'bike', '?']",['yes'],['yes']
31,3885,preprocessed/img/img_train/abstract_v002_train2015_000000003885.png,38851,Are there any mammals in the picture?,"['are', 'there', 'any', 'mammals', 'in', 'the', 'picture', '?']","['yes', '3', '1', '0']","['yes', '3', '1', '0']"
32,3885,preprocessed/img/img_train/abstract_v002_train2015_000000003885.png,38852,Is the bird flying?,"['is', 'the', 'bird', 'flying', '?']","['yes', 'no']","['yes', 'no']"
33,3889,preprocessed/img/img_train/abstract_v002_train2015_000000003889.png,38890,What is on the blanket?,"['what', 'is', 'on', 'the', 'blanket', '?']","['food', 'picnic', 'food, drinks', 'food & cups', 'food and drinks']","['picnic', 'food and drinks', 'food']"
34,3889,preprocessed/img/img_train/abstract_v002_train2015_000000003889.png,38891,What color are the cups?,"['what', 'color', 'are', 'the', 'cups', '?']",['red'],['red']
35,3889,preprocessed/img/img_train/abstract_v002_train2015_000000003889.png,38892,Are there 4 clouds?,"['are', 'there', '4', 'clouds', '?']","['no', '2']","['no', '2']"
36,2851,preprocessed/img/img_train/abstract_v002_train2015_000000002851.png,28512,What can the cat play with?,"['what', 'can', 'the', 'cat', 'play', 'with', '?']","['ball', 'yarn', 'ball of yarn']","['ball', 'yarn', 'ball of yarn']"
37,2851,preprocessed/img/img_train/abstract_v002_train2015_000000002851.png,28510,Is there any sunlight?,"['is', 'there', 'any', 'sunlight', '?']","['no', 'yes']","['no', 'yes']"
38,2851,preprocessed/img/img_train/abstract_v002_train2015_000000002851.png,28511,Is the cat playing with the yarn?,"['is', 'the', 'cat', 'playing', 'with', 'the', 'yarn', '?']",['no'],['no']
39,1189,preprocessed/img/img_train/abstract_v002_train2015_000000001189.png,11890,What is the woman doing?,"['what', 'is', 'the', 'woman', 'doing', '?']","['handstand', 'yoga', 'standing on her hands']","['handstand', 'yoga', 'standing on her hands']"
40,1189,preprocessed/img/img_train/abstract_v002_train2015_000000001189.png,11891,Will the woman fall?,"['will', 'the', 'woman', 'fall', '?']","['no', 'yes']","['no', 'yes']"
41,1189,preprocessed/img/img_train/abstract_v002_train2015_000000001189.png,11892,Why would you say this woman is strong?,"['why', 'would', 'you', 'say', 'this', 'woman', 'is', 'strong', '?']","['handstand', 'she is standing upside down over stool', 'can lift up on arms', 'yes', 'headstand', 'can stand on her head']","['handstand', 'she is standing upside down over stool', 'can lift up on arms', 'yes', 'headstand', 'can stand on her head']"
